Marca temporal,Clase,Fecha,Hora,AM_PM,Hora_24,Apellidos_enc,Nombres_enc,ID_enc
2024/10/26 9:12:36 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMg5JRuh9lB7-lZ_9xpqUz2P0krv02KVBuN_1sYBiDWmdZjn9Vz0qvQvdSmPwHchvv1BnDeioHwU2V7cfqw3Ymn_w==,gAAAAABnTFMg1KY9LoS0H6p6GqxQsJcVPRisW1CHo95IV_teKebmU7mwWacGVNtqRyo_NZ9Fnefv2O-0SC9NKmnC8rP8KWCBaw==,gAAAAABnTFMgQ1kB0wZ2Kop8aoIyojhXg5mRV9xi3uJfvRNGNx80yiZET_3mjRlpeBneBNqTyNt2n5FFVPCq6I80z40N4BeoGA==
2024/10/26 9:12:37 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgX6N9mDN375UxerPuEy0LYcWO6-mxTfKXpP2nZ3kVXGUjq18VE9j1fRHWfE4UW9qLsK9pIXuLJgnTz7nLSL35zmZPhVuWcrgwokCPrQ4WWos=,gAAAAABnTFMgPY6QtjWyjwvptYWDdo0pL_A1ZqjU52ZNanteEt7H7M9dpsKc9fR8ZJghbrqPBDFeKR4bwA6mR7IwGeSa2Kp6FQ==,gAAAAABnTFMgp-Q-gnW7ph8IawhqMciaPwWmuOIHFq-Y4ak8RKi190FURVftsSj-Kdf1fmCF-YkQBhrSyutenZu_x0peE8DwNQ==
2024/10/26 9:12:42 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgbNboJrusR7M8WNA3TPQwxBuG9x--vwlTzmNxNDrb6RhyZl0ktSJeSDxX7GL8EXClKNPMKIuIe7pfrBvZmUaCdw==,gAAAAABnTFMgxoODxkLlk_1nquwsDQ5ZdWDueivvw1WxKG9D1AIqtGotn1lw-J-bZOjmjmeu8bYM_eFHGqGDLAZ0RDm873VwluoWZbpLkgdvRLuwbpmIjNk=,gAAAAABnTFMgvgny4ufeOXNDMWLP8yYvtKeBZ3Ajna5iAHrv5yxag0PrOZrEKuWQ9JjU7cvTnt_lo8p8E6e6_N8chKYIDCJszA==
2024/10/26 9:12:45 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgaOlnYXu6zeC4WXa9oo_4ft0hxaNedHMJB1c_beIxuwppxfCsaW_0db6EpyQ3kAwfSm80cdO5JzXhP7HOMszB7g==,gAAAAABnTFMg9fLbqfGr7tK2TkIDCnNSJwuvJIfiyc76-Eeux1K0VZ7zYYtvTJzpoU0fild4B2VWL7r_EZXy7l4XqiF99hIUew==,gAAAAABnTFMg58Se_Q-0fnjea6NUDNZRmskCCrP7uGd4DWbtvcfBLd0Pnad1v9buV_6CLPEZ39hOD4dUhevlBwAIbVw_nqq52w==
2024/10/26 9:12:52 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgQgDP5aNSt9qdTFCd8Bul-dxWO5WCfFeiGWMmH2CBEoK5FVZ9L6P1Nxk6qHJSra2GwNVRZ0kJZMhQQnjonah6tA==,gAAAAABnTFMgXfgtABXc-Ko1STdOe5oVZir3JKcsiU3ZBfejwLiYDzVTPU8InM_iTtBHEpjJ0nYLsqsTHkHEmFEpz3WsK5UsrGrwpXXKSaQNis3hNKotmts=,gAAAAABnTFMgEwQWFN3gxxd34xn5Nwh-_g2_ltY-z4ld5FYqrvox6-Ds3ISzVEL8Hu5yEIiLK21EhbjfI_zWlTFlLWFBq8SRqg==
2024/10/26 9:12:54 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgOOkkNBaIPsU4QNq3AZr5Gygn7sUQP0mKKYqAzSwajIimlRl7zbhK8NJP6H4FsEK44-QgQ024ZBOIgApjYvdqOqtl_TgioyA6huBSU4Et8r4=,gAAAAABnTFMguRpfaICHfa-gjX6C-AnzcB_0S-NlRIDceZezDjP2KTPoitx75kIFnnyqAb-IU2niAzKtraNKNMf3MFdLhoeGX_xBVgDYypLr2i1kAbtLkxs=,gAAAAABnTFMgzP6mhWdByBm8r9dm-FB59-rURQZBggtZHHoiJPaSt1QF_FZ-IoaFAQ7hR498sENOUztIlWF4znceZj4JES2b_A==
2024/10/26 9:12:54 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMg_siCyg4zLhlAiwUP36haE9OlaeQTnc8vsVbdKnTrChjdgJUDa8FFmfDHQWCd6f8MNOkwjgNY7K6hsXN-XleVL3xkOzFWdMyzr7ErR10RUmM=,gAAAAABnTFMgw01UWkYhcumTqXMJyPtHPeZ-0n8d5TcnYwVPhSsTC3XXBJ2O_yxWLtvwYhS0FCPU7Nsc3nCw5G3fH_UzruMwdQ==,gAAAAABnTFMgFXW_qyqLxJWzXs3aT47lP7Ay6oYhKGlLzudFoxwptbYLC-jdJ3onf-pI635njU-OpCXXXPrRh7nWIcyeF5NPdg==
2024/10/26 9:12:55 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgFG5-Faa7PNmvdzXs3VgGdZOeKzrtBuV4Pb_4RMAwORBIFqRzVY1q_KimGAY0oCngF0Nua-HnttALzhc7SuDsUA==,gAAAAABnTFMgOEXBhimN3X_qtfmVle9Mr5Pu_imjNtsaSnkXSyuOC2vKJT3qKsBvXgowzJkorVWdUnSzLcvX9W7iZf5tiZsiIZXU4qfyhUAHcptk53xs0f0=,gAAAAABnTFMgCOqKXdrKDqsTCVFPm7twLPDCUnHOJVRM0MlB99R0CsnU_1mczJcbRzp7UZAcxOAQG7QDaoXNcKGGdStgV9AUkw==
2024/10/26 9:12:58 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMg_L-I-NL4WMuG3wyUYp9GuoHjVYaxkad9vJLVKgDXfIvPbSr0GVvCtW7YC9WbQys8cg7X84eiLkXzEm5RrmMj6A==,gAAAAABnTFMgIdRtfz-Vg887c-U-TCHTuwVhSYJ1CgaiS8npmoc_jH62VDWEMmgsvRFrHVDXJDar0MIlTgoi2xF6vRIqrlnfQfYJVUZBfLuAEYzP5mTdVw8=,gAAAAABnTFMgj7LVVOAJ-efUcTC8TJ4vc3z7bkxxQJhKBvvPIPumgowrVG_uOIHZeE32-u70FsW7TT-Hv8utpgmJtzZKRAqcpw==
2024/10/26 9:13:02 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgxZ1viwI5kpOJCwcZwQNz4ebn6VPAF5Qj5b72rpM9Bc1PHRfvZlPxZdaopYSNHFBfiCTqApZ2iY9zNwrZZLaeKg==,gAAAAABnTFMgsgR7xzZTZ95FDqPCP2OllK7Omp-kuycsGFk0XDZXgLVbtFCsPUR8ayBGSFzVMEBdGUD8zBHbZ83JTP4Rd4BBEg==,gAAAAABnTFMg3X75z5Q3Ow1QKcRdE2u6JzOucJgvbUsU3HuPspsMjbdBJVq3CpzgXgLSUuim7UjdTA8BjvaCwW-0CP0YKtfqHQ==
